_id,numberOfAnime,averageEpisodes,releasePeriodStart,releasePeriodEnd,averageRating
Detective Conan,74,1.8275862068965518,1969,2015,3.8653623188405795
Doraemon (1979),64,194.66666666666666,1973,,3.5675
Mobile Suit Gundam SEED Destiny,60,19.5625,1985,2018,3.578813559322034
Doraemon: Doraemon Comes Back (1998),60,253,1973,2005,3.561166666666667
Detective Conan Movie 24: The Scarlet Bullet,60,4.814814814814815,1996,2015,3.899
Doraemon: Doraemon Comes Back,60,253,1973,2005,3.5621666666666667
Lupin III Special 21: Lupin III vs Detective Conan,59,17.5,1969,2016,3.692372881355932
The Doraemons: Strange,57,190.5,1973,2005,3.5580701754385964
Sweets,57,190.5,1973,2005,3.5580701754385964
Mobile Suit Gundam SEED: After Phase: In the Valley of Stars,57,20.9375,1985,2018,3.6096428571428567
Strange?,57,190.5,1973,2005,3.5580701754385964
Lupin III,54,22.75,1969,2016,3.6892592592592592
Lupin III: The First,54,22.76923076923077,1969,2016,3.6803703703703707
Chou Denei-ban SD Gundam Sangokuden Brave Battle Warriors,52,20.43243243243243,1979,2021,3.5592307692307696
Mobile Suit SD Gundam Mk I,52,19.970588235294116,1985,2018,3.5677999999999996
Mobile Suit Gundam Unicorn,52,20.548387096774192,1985,2018,3.5486538461538464
Lupin III Special 5: Voyage To Danger,51,24.583333333333332,1969,2016,3.6794117647058826
Lupin III Special 8: The Secret Of The Twilight Gemini,51,24.583333333333332,1969,2016,3.6801960784313725
Lupin III Special 14: Episode 0 - First Contact,51,24.583333333333332,1969,2016,3.6768627450980396
Lupin III: Return Of Pycal,50,26.727272727272727,1969,2016,3.6832
Lupin III: Part IV,50,24.636363636363637,1969,1985,3.6868
Lupin III: The Castle of Cagliostro,50,24.583333333333332,1969,2016,3.6719999999999997
Mobile Suit SD Gundam no Gyakushuu: Arashi wo Yobu Gakuensai,50,19.970588235294116,1985,2018,3.5632
Mobile Suit Zeta Gundam,49,19.689655172413794,1986,2018,3.5838775510204086
Mobile Suit Gundam: The 08th MS Team,49,21.29032258064516,1985,2018,3.5687755102040817
Lupin III Special 26: Italian Game,49,24.636363636363637,1969,2016,3.686326530612245
Lupin III: Goemon's Blood Spray,49,24.636363636363637,1969,2016,3.6787755102040816
Lupin III: Pilot Film,49,30.615384615384617,1971,2016,3.7187755102040816
Lupin III Special 22: The Last Job,48,24.636363636363637,1969,2016,3.674375
Lupin III Special 15: Operation Return the Treasure,48,24.636363636363637,1969,2016,3.674375
Lupin III: Lupin Family All-Stars,48,26.727272727272727,1969,2016,3.685625
Lupin III Special 19: The Elusiveness of the Fog,48,24.636363636363637,1969,2016,3.6768750000000003
Lupin III Special 16: Stolen Lupin,48,24.636363636363637,1969,2016,3.676458333333333
