_id,Avg_Episodes,Avg_Rating
Studio Pivote,,4.36
Tiger Animation,10,4.35
B.C MAY PICTURES,20.714285714285715,4.1899999999999995
Mua Film,7.333333333333333,4.16
Motion Magic,12.875,4.142222222222222
Sharefun Studio,8.5,4.125
V1 Studio,103,4.046666666666667
Animation Do,12.333333333333334,4.028888888888889
Paper Plane,12,4.02
Studio Bind,8,4.015
Studio Palette,12,4.01
Colored Pencil Animation,8,3.9966666666666666
Shuka,10.375,3.9699999999999998
Pili International Multimedia,13,3.9519999999999995
monofilmo,12,3.95
Original Force,7.333333333333333,3.9425
Studio Kafka,,3.93
Studio Mir,1,3.915
Studio Mother,,3.9050000000000002
Wulifang Digital,15,3.9
Ruo Hong Culture,48.166666666666664,3.887826086956522
Colored Pencil Animation Japan,6.5,3.865
Fall 2005,26,3.86
Maro Studio,52,3.86
Liudao Wuyu Animation Studio,2,3.85
Studio Shelter,22,3.85
Shenying Animation,13.6,3.85
FENZ,15.375,3.848333333333333
CG Year,22,3.8383333333333334
Platinum Vision,10.5,3.8362499999999997
Mili Pictures,19,3.8350000000000004
TROYCA,14.125,3.833636363636364
Sparkly Key Animation Studio,22,3.8245454545454547
Ling San Wu Donghua,12.5,3.81
ASK Animation,13,3.81
Oz,,3.81
Joicy Studio,13,3.8
BYMENT,19.333333333333332,3.7975
WIT Studio,11.4,3.7950000000000004
Geno Studio,9.285714285714286,3.795
Soyep,36.3125,3.7906666666666666
NUT,6.5,3.7899999999999996
Foch,13.521739130434783,3.783913043478261
Production Reve,8,3.77
Studio Pastoral,2.5,3.77
Bones,16.275,3.7687857142857144
8 Pan,20.636363636363637,3.7677777777777774
GRIZZLY,1.5,3.766666666666667
Studio Chizu,,3.7514285714285713
Lerche,11.725,3.743333333333333
ENISHIYA,,3.74
Directions,,3.74
David Production,18.275862068965516,3.7377499999999997
GARDEN,10.666666666666666,3.7300000000000004
WHITE FOX,14.565217391304348,3.7248780487804876
Maho Film,12,3.722
Zhongce Picture,20,3.72
Kyoto Animation,10.521739130434783,3.7174545454545456
CloverWorks,10.823529411764707,3.712702702702703
Trois Studio,,3.71
Prima Linea Productions,,3.71
Paradise Cafe,,3.71
Tatsunoko VCR,6,3.7
Studio Daisy,3,3.7
M.S.C.,7.777777777777778,3.6983333333333337
YHKT Entertainment,4.285714285714286,3.6914285714285713
Ankama Animations,,3.69
Qualia Animation,,3.69
3xCube,12.75,3.688
L2 Studio,16.833333333333332,3.68125
Haoliners Animation League Korea,10,3.68
LX Animation Studio,16,3.68
Science SARU,14.428571428571429,3.6710000000000003
SYOK Studio,1,3.67
MAPPA,12.74468085106383,3.6649230769230767
BN Pictures,25.3125,3.663488372093023
2:10 Animation,15,3.6633333333333336
ufotable,9.28,3.6619354838709675
7DOC,22.428571428571427,3.6525
A-1 Pictures,15.893939393939394,3.6522421524663677
Studio LAN,8.571428571428571,3.65
Karaku,12,3.65
Team Till Dawn,24,3.65
I.Gzwei,12.666666666666666,3.645
CyberConnect2 sai,,3.645
AIC Build,8.333333333333334,3.6422222222222222
LICO,11.25,3.6380000000000003
8-Bit,10.742857142857142,3.635918367346939
Beijing Rocen,40.416666666666664,3.635
Studio Rikka,3,3.6340000000000003
Tear Studio,12,3.6333333333333333
BigFireBird,13.5,3.63
Sunwoo Entertainment,39,3.63
Lapin Track,8,3.6275
Manglobe,10.12,3.6248387096774195
