_id,Rank,Name,Type,Tags[0],Tags[1],Tags[2],Tags[3],Tags[4],Tags[5],Tags[6],Tags[7],Tags[8],Tags[9],Tags[10],Rating,Release_year,Content_Warning,Content_Warning[0],Content_Warning[1]
65aa92de1e4a130e43223742,16942,Kimitachi wa dou ikiru ka,Movie,Drama,,,,,,,,,,,,,,,
65aa92c21e4a130e4321f6b2,414,Laputa: Castle in the Sky,Movie,Adventure,Fantasy,Family Friendly,Original Work,,,,,,,,4.15,1986,,,
65aa92c21e4a130e4321f5e6,210,My Neighbor Totoro,Movie,Fantasy,Slice of Life,Contemporary Fantasy,Countryside,Family Friendly,Family Life,Japanese Mythology,Non-Human Protagonists,Siblings,Original Work,,4.25,1988,,,
65aa92c21e4a130e4321f607,243,Grave of the Fireflies,Movie,Drama,Autobiographies,Death of a Loved One,Historical,Lifestyle Change,Melancholy,Orphans,Poverty,Siblings,War,World War 2,4.23,1988,,,
65aa92c21e4a130e4321f6b3,415,Kiki's Delivery Service,Movie,Fantasy,Slice of Life,Apprenticeship,Europe,Family Friendly,Lifestyle Change,Magic,Witches,Based on a Novel,,,4.15,1989,,,
65aa92c71e4a130e4321ff21,2573,Only Yesterday,Movie,Drama,Josei,Slice of Life,Countryside,Based on a Manga,Mature Themes,Domestic Abuse,,,,,3.72,1991,,Mature Themes,Domestic Abuse
65aa92c41e4a130e4321f96c,1112,Porco Rosso,Movie,Action,Adventure,Aviation,Curse,Europe,Pigs,Pirates,Based on a Manga,,,,3.95,1992,,,
65aa92da1e4a130e43222b62,13902,Sora Iro no Tane,Other,Family Friendly,Shorts,,,,,,,,,,2.86,1992,,,
65aa92db1e4a130e43222f7a,14950,Nandarou,Other,Shorts,,,,,,,,,,,2.54,1992,,,
65aa92d31e4a130e432218e6,9170,Ocean Waves,TV Sp,Drama,Romance,Slice of Life,Coming of Age,School Life,Based on a Novel,,,,,,3.28,1993,,,
65aa92c91e4a130e432201b3,3231,Pom Poko,Movie,Adventure,Fantasy,Animal Protagonists,Anthropomorphic,Contemporary Fantasy,Environmental,Family Friendly,Japanese Mythology,Non-Human Protagonists,Original Work,,3.64,1994,,,
65aa92c21e4a130e4321f686,370,Whisper of the Heart,Movie,Comedy,Drama,Romance,Shoujo,Slice of Life,Coming of Age,Family Friendly,Based on a Manga,,,,4.17,1995,,,
65aa92c71e4a130e4321fd52,2110,On Your Mark,Music,Angels,Family Friendly,Police,,,,,,,,,3.78,1995,,,
65aa92c21e4a130e4321f567,83,Princess Mononoke,Movie,Action,Adventure,Fantasy,Curse,Environmental,Feudal Japan,Forest,Japanese Mythology,Royalty,Original Work,,4.36,1997,,,
65aa92ca1e4a130e4322075a,4678,My Neighbors The Yamadas,Movie,Comedy,Slice of Life,Family Friendly,Family Life,Based on a 4-Koma Manga,Based on a Manga,,,,,,3.53,1999,,,
65aa92d31e4a130e4322193d,9257,Ghiblies,Other,Comedy,,,,,,,,,,,3.27,2000,,,
65aa92c21e4a130e4321f531,29,Spirited Away,Movie,Adventure,Fantasy,Curse,Family Friendly,Japanese Mythology,Magic,Person in a Strange World,Youkai,Original Work,,,4.45,2001,,,
